food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
"Morue, salée, bouillie/cuite à l'eau",480.0,113.0,480.0,113.0,26.0,,,
"Cabillaud, cuit à la vapeur",451.0,106.0,451.0,106.0,,,,
"Mulet, rôti/cuit au four",602.0,143.0,602.0,143.0,,,,
"Raie, rôtie/cuite au four",409.0,,409.0,,23.0,,,
"Roussette ou petite roussette ou saumonette, cuite",1070.0,256.0,1070.0,256.0,,,,
Saumon fumé,743.0,178.0,743.0,178.0,22.0,,,
"Saumon, cuit à la vapeur",816.0,195.0,816.0,195.0,23.0,,,
"Thon, rôti/cuit au four",576.0,136.0,576.0,136.0,,,,
"Sole, cuite à la vapeur",400.0,,400.0,,,,,77.0
"Sole, rôtie/cuite au four",330.0,,330.0,,,,,
"Sole, bouillie/cuite à l'eau",292.0,69.0,292.0,69.0,15.0,,1.0,84.0
"Sole, frite",306.0,,306.0,,,,1.0,83.0
"Raie, cuite au court-bouillon",415.0,,415.0,,,,,
"Lotte ou baudroie, grillée/poêlée",417.0,,417.0,,23.0,,,75.0
"Maquereau, fumé",1220.0,294.0,1220.0,294.0,,0.0,,
Haddock (fumé) ou églefin fumé,411.0,97.0,411.0,97.0,,0.0,,
"Espadon, rôti/cuit au four",1110.0,266.0,1110.0,266.0,,,,
"Turbot, rôti/cuit au four",497.0,118.0,497.0,118.0,,,,
"Merlu, cuit à l'étouffée",472.0,112.0,472.0,112.0,,,3.0,
"Églefin, grillé/poêlé",360.0,,360.0,,20.0,,,
"Sardine, grillée",812.0,194.0,812.0,194.0,,,,64.0
"Vivaneau, cuit",511.0,121.0,511.0,121.0,,,,
"Rascasse, cuite à la vapeur",533.0,126.0,533.0,126.0,,,,
"Lieu ou colin d'Alaska, fumé",344.0,,344.0,,,0.0,,
"Lieu jaune ou colin, cuit",425.0,100.0,425.0,100.0,,,,
"Saumon, cuit au micro-ondes, élevage",834.0,200.0,834.0,200.0,,,,63.0
"Saumon, bouilli/cuit à l'eau, élevage",805.0,193.0,805.0,193.0,25.0,,,
"Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four",512.0,121.0,512.0,121.0,,,,71.0
"Saumon, grillé/poêlé",933.0,223.0,933.0,223.0,,,,
"Saumon, élevage, rôti/cuit au four",874.0,210.0,874.0,210.0,,,,
"Hareng fumé, à l'huile",699.0,168.0,699.0,168.0,,2.0,11.0,
"Julienne ou Lingue, cuite",447.0,105.0,447.0,105.0,,,,
"Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur",722.0,173.0,722.0,173.0,,,,
"Sole, poêlée",410.0,,410.0,,,,,
"Anguille, cuite (aliment moyen)",888.0,213.0,888.0,213.0,,0.0,,
"Anguille, rôtie/cuite au four",955.0,229.0,955.0,229.0,,,15.0,
"Anguille, bouillie/cuite à l'eau",820.0,197.0,820.0,197.0,,,,62.0
"Brochet, rôti/cuit au four",425.0,100.0,425.0,100.0,,,,
"Carpe, rôtie/cuite au four",633.0,151.0,633.0,151.0,,,,
"Perche, rôtie/cuite au four",503.0,119.0,503.0,119.0,,,,
"Truite, rôtie/cuite au four",766.0,183.0,766.0,183.0,,,,
"Truite, cuite à la vapeur",419.0,,419.0,,19.0,,,75.0
"Truite arc en ciel, élevage, rôtie/cuite au four",600.0,143.0,600.0,143.0,,,,71.0
"Truite arc en ciel, élevage, cuite à la vapeur",493.0,117.0,493.0,117.0,20.0,,,75.0
"Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit",335.0,79.0,335.0,79.0,,,1.0,
"Truite d'élevage, fumée",753.0,180.0,753.0,180.0,,,,
"Bar commun ou loup, rôti/cuit au four",617.0,147.0,617.0,147.0,,,,
"Dorade (Daurade) royale, cuite au four",620.0,148.0,620.0,148.0,,,,
"Bar rayé ou bar d'Amérique, cru",477.0,113.0,477.0,113.0,,,,
"Lieu ou colin d'Alaska, cru",300.0,,300.0,,,,,
"Flétan de l'Atlantique ou flétan blanc, cru",409.0,,409.0,,,,,
"Hareng, cru",734.0,176.0,734.0,176.0,,,,
"Lotte ou baudroie, crue",285.0,,285.0,,,,,
"Saumon, cru, élevage",807.0,194.0,807.0,194.0,,,,
"Turbot sauvage, cru",386.0,,386.0,,,,,
"Cabillaud, cru",329.0,,329.0,,,,,
"Merlu, cru",349.0,,349.0,,,,,80.0
"Lieu noir, surgelé, cru",350.0,,350.0,,,,,
"Merlu, filet, surgelé, cru",346.0,82.0,346.0,82.0,,,,
"Maquereau, cru",808.0,194.0,808.0,194.0,,,,
"Raie, crue",382.0,,382.0,,,,,
"Thon, cru",607.0,144.0,607.0,144.0,24.0,,,
"Carrelet ou plie, cru",375.0,,375.0,,20.0,,,
"Limande, crue",342.0,,342.0,,,,,
"Sole, crue",328.0,,328.0,,18.0,,,
"Rascasse, crue",371.0,,371.0,,,,,
"Thon albacore ou thon jaune, cru",459.0,108.0,459.0,108.0,25.0,,,
"Sardine, crue",683.0,163.0,683.0,163.0,,,,64.0
"Thon listao ou Bonite à ventre rayé, cru",411.0,,411.0,,22.0,,,
"Thon rouge, cru",649.0,155.0,649.0,155.0,,,,
"Bar commun ou loup, cru, sans précision",350.0,,350.0,,,,,
"Roussette ou petite roussette ou saumonette, crue",415.0,,415.0,,,,,
"Bar ou loup de l'Atlantique, cru",379.0,,379.0,,,,,
"Thon germon ou thon blanc, cru",514.0,121.0,514.0,121.0,,,,
"Anchois commun, cru",541.0,129.0,541.0,129.0,,,,
"Dorade royale, ou daurade ou vraie daurade, crue, sauvage",393.0,,393.0,,,,,
"Espadon, cru",543.0,130.0,543.0,130.0,,,,
"Éperlan, cru",361.0,,361.0,,,,,
"Cardine franche, crue",395.0,,395.0,,,,,
"Rouget-barbet de roche, cru",660.0,158.0,660.0,158.0,,,,
"Dorade royale ou daurade ou vraie daurade, crue, élevage",543.0,129.0,543.0,129.0,,,,
"Mulet, cru",475.0,113.0,475.0,113.0,,,,
"Truite de mer, crue",467.0,111.0,467.0,111.0,,,,
"Merlan, cru",336.0,,336.0,,,,,
"Morue, salée, sèche",871.0,206.0,871.0,206.0,,,,
"Dorade grise, ou daurade grise, ou griset, crue",547.0,130.0,547.0,130.0,,,,
"Bogue, crue",380.0,90.0,380.0,90.0,,,,
"Bonite, crue",675.0,161.0,675.0,161.0,,,,70.0
"Maquereau espagnol ou maquereau blanc ou billard, cru",567.0,135.0,567.0,135.0,,,,
"Denté, cru",418.0,,418.0,,17.0,,,
"Saint-Pierre, cru",368.0,,368.0,,,,,
"Grondin, cru",397.0,94.0,397.0,94.0,19.0,,2.0,75.0
"Corb, cru",370.0,,370.0,,20.0,,,78.0
"Capelan, cru",380.0,90.0,380.0,90.0,,,,
"Dorade rose, ou daurade rose, crue",431.0,102.0,431.0,102.0,21.0,,2.0,
"Rouget-barbet de roche, vapeur",602.0,143.0,602.0,143.0,,,,
"Saupe, crue",399.0,,399.0,,18.0,,,78.0
"Chinchard, cru",487.0,116.0,487.0,116.0,19.0,,,78.0
"Églefin, cru",307.0,,307.0,,,,,
"Congre, cru",481.0,115.0,481.0,115.0,,,,
"Grenadier (de roche), cru",292.0,,292.0,,,,,
"Lieu jaune ou colin, cru",320.0,,320.0,,,,,
"Julienne ou Lingue, crue",343.0,,343.0,,,,,
"Tacaud, cru",346.0,,346.0,,,,,
"Lieu noir, cru",350.0,,350.0,,,,,
"Limande-sole, crue",341.0,,341.0,,17.0,,,80.0
"Foie de morue, cru",2550.0,619.0,2550.0,619.0,5.0,,,
"Vivaneau, cru",398.0,,398.0,,,,,78.0
"Sabre, cru",524.0,125.0,524.0,125.0,18.0,,,
"Flétan du Groënland ou flétan noir ou flétan commun, cru",700.0,168.0,700.0,168.0,,,,
"Carangue, cru",438.0,104.0,438.0,104.0,,,,
"Coulirou, cru",301.0,,301.0,,,,,
"Saumon, cru, sauvage",695.0,166.0,695.0,166.0,21.0,,,
"Requin, cru",461.0,109.0,461.0,109.0,,,,
"Orphie commune, crue",558.0,133.0,558.0,133.0,20.0,,,
"Lompe, crue",695.0,168.0,695.0,168.0,10.0,,,
"Brème, cru",435.0,104.0,435.0,104.0,,,4.0,77.0
"Omble chevalier, cru",436.0,103.0,436.0,103.0,,,,
"Loup tacheté, cru",454.0,108.0,454.0,108.0,,,,
"Sprat, cru",777.0,186.0,777.0,186.0,,,,
"Turbot, cru",361.0,,361.0,,,,,
"Corégone lavaret, cru",486.0,115.0,486.0,115.0,,,,
"Mérou, cru",349.0,,349.0,,,,,
"Lingue bleue ou Lingue, crue",338.0,,338.0,,,,,
"Sole tropicale ou Sole langue, crue",289.0,,289.0,,,,,
"Turbot d'élevage, cru",457.0,109.0,457.0,109.0,,,,
"Bar commun ou loup (Méditerranée), cru, sauvage",414.0,,414.0,,,,,
"Bar commun ou loup (Méditerranée), cru, élevage",521.0,124.0,521.0,124.0,,,,
"Baudroie rousse ou Lotte, crue",298.0,,298.0,,,,,
"Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue",378.0,,378.0,,,,,
"Hoki, tout lieu de pêche, cru",389.0,,389.0,,,,,
"Grenadier bleu ou hoki de Nouvelle-Zélande, cru",319.0,,319.0,,,,,
"Grondin perlon, cru",412.0,,412.0,,,,,
"Merlu blanc du Cap, surgelé, cru",330.0,78.0,330.0,78.0,,,,
"Chinchard maigre, cru",408.0,,408.0,,,,,
"Chinchard gras, cru",616.0,147.0,616.0,147.0,,,,
"Hareng maigre, cru",466.0,111.0,466.0,111.0,,,,
"Hareng gras, cru",719.0,172.0,719.0,172.0,,,,
"Joëls (petits poissons entiers) pour friture, crus",375.0,,375.0,,,,,
"Empereur, filet, sans peau, cru",311.0,,311.0,,15.0,,,
"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)",407.0,,407.0,,,,,
"Carpe, crue, élevage",477.0,114.0,477.0,114.0,,,,
"Truite d'élevage, crue",558.0,133.0,558.0,133.0,,,,
"Truite arc en ciel, crue, élevage",553.0,132.0,553.0,132.0,19.0,,,74.0
"Perche, crue",348.0,,348.0,,,,,
"Brochet, cru",355.0,,355.0,,,,,
"Esturgeon, cru",517.0,123.0,517.0,123.0,,,,
"Anguille, crue",963.0,232.0,963.0,232.0,,,,
"Pangasius ou Poisson-chat, cru",276.0,,276.0,,,,,
"Tilapia, cru",387.0,,387.0,,,,,
"Truite saumonée, crue",600.0,143.0,600.0,143.0,,,,
"Lotte de rivière, crue",326.0,77.0,326.0,77.0,,,,
"Sandre, cru",351.0,,351.0,,,,,
"Perche du Nil, crue",349.0,,349.0,,,,,79.0
"Bigorneau, cuit",,,,,,,,
"Coquille Saint-Jacques, noix et corail, cuite",463.0,110.0,463.0,110.0,,,,73.0
"Crevette grise, cuite",381.0,,381.0,,,,,
"Crevette, cuite",397.0,,397.0,,19.0,,,
"Homard, bouilli/cuit à l'eau",385.0,,385.0,,,,,
"Moule, bouillie/cuite à l'eau",457.0,108.0,457.0,108.0,,,,
"Bulot ou Buccin, cuit",415.0,,415.0,,,,,
"Langouste, bouillie/cuite à l'eau",449.0,106.0,449.0,106.0,,,,
"Crabe ou Tourteau, bouilli/cuit à l'eau",520.0,124.0,520.0,124.0,,,,
"Clam, Praire ou Palourde, bouilli/cuit à l'eau",420.0,,420.0,,,,,
"Écrevisse, cuite",312.0,,312.0,,,,,
"Crevette rose bouquet, cuite",,,,,,,,
"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",632.0,149.0,632.0,149.0,,,,
Fruits de mer (aliment moyen),438.0,104.0,438.0,104.0,,,,74.0
"Langoustine, bouillie/cuite à l'eau",,,,,,,,
"Araignée de mer, cuite",,,,,,,,
"Crevette pattes blanches, cuite",,,,,,,,
"Crevette géante tigrée, cuite",,,,,,,,
"Crevette royale rose, cuite",,,,,,,,
"Poulpe, cuit",659.0,156.0,659.0,156.0,,,,
"Fruits de mer, cuits, surgelés",336.0,,336.0,,,,,
"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",725.0,173.0,725.0,173.0,,,,
"Escargot, sans matière grasse ajoutée, cuit",338.0,80.0,338.0,80.0,,,,
"Grenouille, cuisse, grillée/poêlée",,,,,,,,
"Calmar ou calamar ou encornet, cru",326.0,77.0,326.0,77.0,,,,
"Coquille Saint-Jacques, noix et corail, crue",351.0,83.0,351.0,83.0,17.0,,,
"Escargot, cru",330.0,,330.0,,,,,
"Homard, cru",362.0,,362.0,,,,,
"Huître, sans précision, crue",283.0,,283.0,,,,,
"Moule commune, crue",303.0,,303.0,,,,,
"Langouste, crue",368.0,,368.0,,,,,
"Seiche, crue",323.0,,323.0,,,,,
"Clam, Praire ou Palourde, cru",339.0,,339.0,,,,,
"Poulpe, cru",255.0,,255.0,,,,,
"Bulot ou Buccin, cru",555.0,131.0,555.0,131.0,,,,66.0
"Crevette, crue",420.0,99.0,420.0,99.0,,,,
"Langoustine, crue",381.0,,381.0,,,,,
"Moule de Méditerranée, crue",290.0,,290.0,,,,,
"Écrevisse, crue",290.0,,290.0,,,,,
"Huître creuse, crue",283.0,,283.0,,,,,
"Huître plate, crue",226.0,,226.0,,,,,
"Crevette, surgelée, crue",446.0,105.0,446.0,105.0,,,,
"Crabe, cru",438.0,104.0,438.0,104.0,,,,
"Ormeau, cru",422.0,,422.0,,,,,
"Coquille Saint-Jacques, noix, crue",354.0,,354.0,,,,,
"Pecten d'Amérique ou Peigne du canada, noix, crue",345.0,,345.0,,,,,
"Pétoncle ou Peigne du Pérou, noix, crue",376.0,,376.0,,,,,
"Crevette rose, crue",392.0,,392.0,,,0.0,,
"Grenouille, cuisse, crue",297.0,70.0,297.0,70.0,,,,82.0
"Rillettes de crabe, préemballées",798.0,192.0,798.0,192.0,,,,
"Rillettes de poisson, préemballées",1010.0,243.0,1010.0,243.0,,,,
"Rillettes de saumon, préemballées",985.0,237.0,985.0,237.0,,2.0,,
"Rillettes de thon, préemballées",826.0,199.0,826.0,199.0,,,,
"Rillettes de maquereau, préemballées",1020.0,246.0,1020.0,246.0,11.0,1.0,22.0,
"Terrine de poisson, préemballée",714.0,171.0,714.0,171.0,11.0,,,
"Terrine de fruits de mer, avec ou sans poisson, préemballée",782.0,188.0,782.0,188.0,,,14.0,
"Tarama, préemballé",2200.0,534.0,2200.0,534.0,,,,30.0
"Calmar ou Calamar ou encornet, à la romaine (beignet)",1050.0,252.0,1050.0,252.0,,,,
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",468.0,111.0,468.0,111.0,,,,
"Langoustine, panée, frite",1180.0,282.0,1180.0,282.0,,29.0,,
Beignet de crevette,930.0,222.0,930.0,222.0,,26.0,10.0,
"Moule, appertisée, égouttée",431.0,102.0,431.0,102.0,,,,
"Escargot en sauce au beurre persillé, préemballé, cuit",1150.0,277.0,1150.0,277.0,,,,
"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",605.0,145.0,605.0,145.0,,5.0,,
Accra de poisson,1140.0,275.0,1140.0,275.0,,,,
Carpaccio de saumon avec marinade,810.0,194.0,810.0,194.0,,,,
"Maquereau, filet grillé, appertisé, nature, égoutté",1020.0,246.0,1020.0,246.0,,,,
"Anchois, filets roulés aux câpres, semi-conserve, égoutté",830.0,198.0,830.0,198.0,,,,
"Anchois, filets à l'huile, semi-conserve, égoutté",765.0,182.0,765.0,182.0,,,,
"Carrelet ou plie, pané, frit",1010.0,242.0,1010.0,242.0,,,,
"Oeufs de lompe, semi-conserve",462.0,111.0,462.0,111.0,,1.0,,76.0
"Caviar, semi-conserve",1060.0,254.0,1060.0,254.0,25.0,,,
Hareng mariné ou rollmops,880.0,211.0,880.0,211.0,,8.0,,
"Limande-sole, panée, frite",863.0,206.0,863.0,206.0,,,,
"Pilchard, sauce tomate, appertisé, égoutté",696.0,167.0,696.0,167.0,13.0,,11.0,
"Poisson, croquette ou beignet ou nuggets, frit",1060.0,255.0,1060.0,255.0,,,,
"Poisson pané, surgelé, cru",679.0,162.0,679.0,162.0,11.0,,,
"Poisson pané, frit",809.0,193.0,809.0,193.0,,,10.0,
"Sardine, à l'huile, appertisée, égouttée",867.0,207.0,867.0,207.0,,,12.0,
"Sardine, sauce tomate, appertisée, égouttée",804.0,193.0,804.0,193.0,,,,
"Thon, au naturel, appertisé, égoutté",471.0,111.0,471.0,111.0,,0.0,,
"Sardine, à l'huile d'olive, appertisée, égouttée",845.0,202.0,845.0,202.0,,,,
"Surimi, bâtonnets, tranche ou râpé saveur crabe",525.0,125.0,525.0,125.0,,,,
"Oeufs de cabillaud, fumés, semi-conserve",614.0,146.0,614.0,146.0,,,,67.0
"Thon germon ou thon blanc, cuit à la vapeur sous pression",697.0,165.0,697.0,165.0,30.0,0.0,,64.0
"Maquereau, filet sauce tomate, appertisé, égoutté",946.0,227.0,946.0,227.0,,,,
"Maquereau, filet sauce moutarde, appertisé, égoutté",902.0,217.0,902.0,217.0,,,,
"Maquereau, filet au vin blanc, appertisé, égoutté",862.0,207.0,862.0,207.0,,,,
"Saumon, appertisé, égoutté",751.0,180.0,751.0,180.0,,,,
"Maquereau, au naturel, appertisé, égoutté",787.0,189.0,787.0,189.0,,0.0,,
"Merlan, pané",797.0,190.0,797.0,190.0,,13.0,,
"Foie de morue, appertisé, égoutté",1790.0,433.0,1790.0,433.0,,,,
"Oeufs de truite, semi-conserve",,,,,,,,
"Anchois au sel (anchoité, semi-conserve)",540.0,128.0,540.0,128.0,25.0,0.0,,
"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",807.0,192.0,807.0,192.0,,,,
"Thon à l'huile de tournesol, entier, appertisé, égoutté",861.0,206.0,861.0,206.0,,,,
"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",542.0,128.0,542.0,128.0,,,,
"Maquereau, mariné",768.0,185.0,768.0,185.0,,,,
"Anchois commun, mariné, préemballé",573.0,136.0,573.0,136.0,,,,
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",889.0,213.0,889.0,213.0,,,,
"Surimi, fourré au fromage",619.0,149.0,619.0,149.0,,,,
"Thon à la tomate, miettes, appertisées, égouttées",545.0,130.0,545.0,130.0,,,,
"Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé",594.0,142.0,594.0,142.0,,,,
"Thon à l'huile de tournesol, miettes, appertisées, égouttées",946.0,227.0,946.0,227.0,,0.0,,
"Oeufs de saumon, semi-conserve",938.0,224.0,938.0,224.0,,,,49.0
"Oeuf, blanc (blanc d'oeuf), cuit",201.0,,201.0,,,,,
"Oeuf, jaune (jaune d'oeuf), cuit",1410.0,340.0,1410.0,340.0,16.0,,,
"Oeuf, dur",557.0,134.0,557.0,134.0,,,,
"Oeuf, poché",575.0,138.0,575.0,138.0,,,,
"Oeuf, à la coque",590.0,142.0,590.0,142.0,,,,76.0
"Oeuf, au plat, frit, salé",847.0,204.0,847.0,204.0,,,16.0,
"Oeuf, brouillé, avec matière grasse",604.0,145.0,604.0,145.0,,,11.0,
"Oeuf, au plat, sans matière grasse",611.0,147.0,611.0,147.0,,,,
"Oeuf, cru",584.0,140.0,584.0,140.0,,,,
"Oeuf, blanc (blanc d'oeuf), cru",204.0,,204.0,,,,,
"Oeuf, jaune (jaune d'oeuf), cru",1270.0,307.0,1270.0,307.0,,,,55.0
"Oeuf de caille, cru",639.0,154.0,639.0,154.0,,,,
"Oeuf de cane, cru",753.0,181.0,753.0,181.0,13.0,,,
"Oeuf d'oie, cru",750.0,180.0,750.0,180.0,,,,
"Oeuf de dinde, cru",691.0,166.0,691.0,166.0,,,,
"Oeuf, jaune (jaune d'oeuf), en poudre",2730.0,660.0,2730.0,660.0,,,57.0,
"Oeuf, blanc (blanc d'oeuf), en poudre",1510.0,356.0,1510.0,356.0,,,0.0,
"Oeuf, en poudre",2420.0,582.0,2420.0,582.0,,,42.0,
Omelette au fromage,1060.0,255.0,1060.0,255.0,,,,
Omelette aux lardons,1110.0,267.0,1110.0,267.0,,,,
Omelette aux champignons,520.0,125.0,520.0,125.0,,,,79.0
Omelette aux fines herbes,612.0,147.0,612.0,147.0,,,,
"Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée",686.0,165.0,686.0,165.0,,,,
"Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen)",764.0,184.0,764.0,184.0,,,,
"Protéine de soja texturée, réhydratée",630.0,150.0,600.0,143.0,,,,
"Tofu nature, préemballé",617.0,148.0,595.0,143.0,,,,
"Tofu fumé, préemballé",685.0,164.0,661.0,158.0,,,,
"Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé",662.0,157.0,631.0,150.0,,,,
"Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé",775.0,185.0,747.0,178.0,,,7.0,
"Seitan, préemballé",566.0,134.0,566.0,134.0,,,,
"Lait entier, UHT",272.0,,273.0,,,,,
"Lait entier, pasteurisé",236.0,,237.0,,,,,
"Lait demi-écrémé, UHT, enrichi en vitamine D seulement",196.0,,197.0,,,,,
"Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines",186.0,,187.0,,,,,
"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",199.0,,200.0,,,,,
"Lait demi-écrémé, UHT",198.0,47.0,199.0,,,,,
"Lait demi-écrémé, pasteurisé",195.0,,197.0,,,,,
"Lait écrémé, UHT",142.0,,143.0,,,,,
"Lait écrémé, pasteurisé",146.0,,148.0,,,,,
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose,187.0,,188.0,,,,,
"Lait de chèvre, entier, UHT",235.0,,236.0,,,,,87.0
"Lait de chèvre, demi-écrémé, UHT",193.0,,194.0,,,,,
"Lait de chèvre, entier, cru",240.0,,241.0,,,,,
"Lait de jument, entier",210.0,50.0,211.0,,,,,
"Lait de brebis, entier",429.0,103.0,431.0,103.0,,,,
"Lait en poudre, entier",2090.0,499.0,2090.0,501.0,,,,
"Lait concentré non sucré, entier",510.0,122.0,513.0,123.0,,,,
"Lait concentré sucré, entier",1360.0,323.0,1370.0,324.0,,,,
"Lait en poudre, demi-écrémé",1930.0,459.0,1940.0,461.0,,,,
"Lait en poudre, écrémé",1530.0,361.0,1540.0,364.0,,54.0,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei",,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré",312.0,,313.0,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei",,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D",,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré",350.0,,351.0,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D",,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus",397.0,,398.0,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus",,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus",409.0,,410.0,,,13.0,,78.0
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol",,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus",,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus",270.0,,271.0,,,,,
"Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus",,,,,,,,
"Yaourt à la grecque, au lait de brebis",290.0,,291.0,,,,,
"Yaourt à la grecque, sur lit de fruits",,,,,,,,
"Yaourt au lait de brebis, aromatisé, sucré",394.0,,396.0,,,,,80.0
"Yaourt au lait de brebis, nature, 3% MG environ",,,,,,,3.0,
"Yaourt au lait de chèvre, nature, 5% MG environ",305.0,,307.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré",,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG",,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG",232.0,,233.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré",375.0,,377.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème",,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D",,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux céréales",,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré",510.0,122.0,511.0,122.0,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG",165.0,,166.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D",,,,,,,,87.0
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré",404.0,,405.0,96.0,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème",457.0,109.0,458.0,109.0,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",,,,,,14.0,,
"Yaourt, lait fermenté ou spécialité laitière, nature",191.0,,192.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG",168.0,,169.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D",,,,,,5.0,0.0,
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D",,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, à la crème",476.0,115.0,478.0,115.0,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, sucré",356.0,,357.0,,,,,
Yaourt ou spécialité laitière nature (aliment moyen),238.0,,240.0,,,,,
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen),292.0,,293.0,,,,,84.0
Yaourt ou spécialité laitière aux fruits (aliment moyen),392.0,,393.0,,,,,
"Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée",415.0,,418.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen)",180.0,,181.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen)",392.0,,394.0,,,,,79.0
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen)",180.0,,181.0,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen)",393.0,,394.0,,,13.0,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen)",392.0,,394.0,,,13.0,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen)",376.0,,377.0,,,,,
"Lait fermenté à boire, nature, maigre",141.0,,143.0,,,,,
"Lait fermenté à boire, nature, au lait entier",232.0,,233.0,56.0,,,,
"Yaourt à la grecque, nature",,,,,,,,
"Yaourt à la grecque, aromatisé, sucré",,,,,,,,
Kéfir de lait,,,,,,,,
"Yaourt au lait de brebis, nature, 6% MG environ",,,,,,,,
Fromage blanc nature ou aux fruits (aliment moyen),368.0,,371.0,,,,,
"Fromage frais type petit suisse, aromatisé chocolat, sucré",,,,,,,,
