food_name_in_french,saturated_fats_in_g_for_100g,monounsaturated_fats_in_g_for_100g,polyunsaturated_fats_in_g_for_100g,butyric_acid_4_0_in_g_for_100g,caproic_acid_6_0_in_g_for_100g,caprylic_acid_8_0_in_g_for_100g,capric_acid_10_0_in_g_for_100g,lauric_acid_12_0_in_g_for_100g,myristic_acid_14_0_in_g_for_100g,palmitic_acid_16_0_in_g_for_100g,stearic_acid_18_0_in_g_for_100g,oleic_acid_18_1_n_9_in_g_for_100g,linoleic_acid_18_2_n_6_in_g_for_100g,alpha_linolenic_acid_18_3_n_3_in_g_for_100g,arachidonic_acid_20_4_n_6_in_g_for_100g,eicosapentaenoic_acid_20_5_n_3_in_g_for_100g,docosahexaenoic_acid_22_6_n_3_in_g_for_100g,cholesterol_in_mg_for_100g
"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)",1.0,,,,,,,,,,,,,,,,,
"Thé noir, infusé, non sucré",,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0
"Thé vert, infusé, non sucré",,,,,,,,,,,,,,,,,,
"Thé oolong, infusé, non sucré",,,,,,,,,,,,,,,,,,
"Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",,,,,,,,,,,,,,,,,,
"Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)",,,,,,,,,,,,,,,,,,
"Café, moulu",,,,,,,,,,,,,,,,,,0.0
"Café, poudre soluble",,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0
"Sirop à diluer, sucré",0.0,,,,,,,,,,,,,,,,,
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""",,,,,,,,,,,,,,,,,,
"Café, décaféiné, poudre soluble",,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
"Thé, feuille",,,,,,,,,,,,,,,,,,0.0
"Cacao, non sucré, poudre soluble",,,,,,,,,,5.0,,,,,,,,0.0
"Poudre cacaotée ou au chocolat pour boisson, sucrée",,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0
"Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux",,,,,,,,,,,,,,,,0.0,0.0,1.0
"Chicorée et café, poudre soluble",,,,,,,,,,,,,,,,,,0.0
"Chicorée, poudre soluble",,,,,,,,,,,,,,,,,,0.0
"Café au lait ou cappuccino, poudre soluble",,,,,,,,,,,,,,,,,,
"Café au lait ou cappuccino au chocolat, poudre soluble",,,,,,,,,,,,,,,,,,
"Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines",,,,,,,,,,,,,,,,,,
"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés",0.0,,,,,,,,,,,,,,,,,
Vin doux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Pétillant de fruits,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Vin blanc mousseux,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Champagne,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Vin blanc mousseux aromatisé,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Vin (aliment moyen),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Vin rouge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Vin blanc (sec),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Vin rosé,,,,,,,,,,,,,,,,,,0.0
Bière brune,,,,,,,,,,,,,,,,,,0.0
"Bière ""coeur de marché"" (4-5° alcool)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Bière forte (>8° alcool),0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Cidre (aliment moyen),0.0,,,,,,,,,,,,,,,,,
Cidre brut,0.0,,,,,,,,,,,,,,,,,
Cidre doux,0.0,,,,,,,,,,,,,,,,,
Bière faiblement alcoolisée (3° alcool),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Bière blanche,,,,,,,,,,,,,,,,,,
"Bière ""spéciale"" (5-6° alcool)",0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Cidre traditionnel,0.0,,,,,,,,,,,,,,,,,
Cidre bouché demi-sec,,,,,,,,,,,,,,,,,,
Cidre aromatisé (framboise),,,,,,,,,,,,,,,,,,
"Bière sans alcool (<1,2° alcool)",0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Pastis,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Eau de vie,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Gin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liqueur,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Rhum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whisky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apéritif à base de vin ou vermouth,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Vodka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pastis, prêt à boire (1+ 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apéritif anisé sans alcool,0.0,,,,,,,,,,,,,,,,,0.0
Alcool pur,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Marsala,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Marsala aux oeufs,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Crème de cassis,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
"Eau de vie de vin, type armagnac, cognac",,,,,,,,,,,,,,,,,,0.0
"Eau de vie, type calvados",0.0,,,,,,,,,,,,,,,,,
Saké ou Alcool de riz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Cocktail à base de rhum,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0
Cocktail à base de whisky,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0
Sangria,0.0,,,,,,,,,,,,,,,,,
Kir (au vin blanc),0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Kir royal (au champagne),0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
"Cocktail type punch, 16% alcool",,,,,,,,,,,,,,,,,,
Cocktail sans alcool (à base de jus de fruits et de sirop),0.0,,,,,,,,,,,,,,,,,0.0
Panaché (limonade et bière),0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Panaché préemballé (<1° alc.),0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
"Édulcorant à l'aspartame, en pastilles",0.0,,,,,,,,,,,,,,,,,
"Édulcorant à l'aspartame, en poudre",0.0,,,,,,,,,,,,,,,,,
Vermicelles multicolores,4.0,,,,,,,,,,,,,,,,,
Miel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Sucre blanc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Sucre roux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirop d'érable,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Sucre vanillé,,,,,,,,,,,,,,,,,,
Caramel liquide ou nappage caramel,0.0,,,,,,,,,,,,,,,,,
Édulcorant à la saccharine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mélasse de canne,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Sucre allégé à l'aspartame,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Fructose,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0
Édulcorant à base d'extrait de stévia,0.0,,,,,,,,,,,,,,,,,
Sirop d'agave,,,,,,,,,,,,,,,,,,
Barre chocolatée biscuitée,16.0,,,,,,,,,,,,,,,0.0,,
Barre chocolatée non biscuitée enrobée,,,,,,,,,,,,,,,,,,
"Barre à la noix de coco, enrobée de chocolat",,,,,,,,,,,,,,,,,,
"Chocolat au lait, tablette",,,,,,,,,,,,,,,,,,
"Chocolat noir à moins de 70% de cacao, à croquer, tablette",,,,,,,,,,,,,,,,,,
"Chocolat au lait aux céréales croustillantes, tablette",,,,,,,,,,,,,,,,0.0,,23.0
"Chocolat blanc, tablette",,,,,,,,,,,,,,,,,,23.0
Barres ou confiserie chocolatées au lait,,,,,,,,,,,,,,,,,,
"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",17.0,,,,,,,,,,,,,,,0.0,,
"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",,,,,,,,,,,,,,,,,,
"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",,,,,,,,,,,,14.0,,,,,,
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",,,,,,,,,,,,,,,,,,
Pâte à tartiner chocolat et noisette,,,,,,,,,,,,,,,,,,0.0
Confiserie au chocolat dragéifiée,15.0,,,,,,,,,,,,,,,,,
Cacahuètes enrobées de chocolat dragéifiées,,,,,,,,,,,,,,,,,,
Bouchée chocolat fourrage fruits à coques et/ou praliné,,,,,,,,,,,,,,,,,,
Rocher chocolat fourré praliné,,16.0,,,,,,,,,,16.0,,,,,,
"Chocolat noir aux fruits (orange, framboise, poire), tablette",,,,,,,,,,,,,,,,,,
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",,,,,,,,,,,,,2.0,,,,,
Barre chocolatée aux fruits secs,,,,,,,,,,,,,,,,0.0,0.0,
Chocolat noir fourrage confiseur à la menthe,11.0,,,,,,,,,,,,,,,,,
Barre goûter frais au lait et chocolat,17.0,,,,,,,,,,,,,,,,,
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette",,14.0,,,,,,,,12.0,,,,,,,,
Chocolat au lait fourré,,,,,,,,,,,,,,,,,,
"Chocolat noir fourré praliné, tablette",,,,,,,,,,,,,2.0,,,,,
"Chocolat au lait fourré au praliné, tablette",,,,,,,,,,,,,,,,,,
"Chocolat noir à 40% de cacao minimum, à pâtisser, tablette",22.0,,,,,,,,,,,,,,,,,
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit,,,,,,,,,,,,,,,,,,
Barre chocolat au lait avec nougat,,,,,,,,,,,,,,,,,,
Barre goûter frais au lait et chocolat avec génoise,,,,,,,,,,,,,,,,,,
"Chocolat, en tablette (aliment moyen)",,,,,,,,,,,,,,,,,,
"Bonbons, tout type",,,,,,,,,,,,0.0,,,,,,0.0
"Chewing-gum, sucré",,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Pâte de fruits,,,,,,,,,,,,,,,,,,0.0
Zeste d'orange confit,,,,,,,,,,,,,,,,,,0.0
Marron glacé,,,,,,,,,,,,,,,,,,
Fruit confit,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
Nougat ou touron,,,,,,,,,,,,,,,,,,0.0
Dragée amande,,,,,,,,,,,,,,,,,,0.0
Guimauve ou marshmallow,,,,,,,,,,,,,,,,0.0,,0.0
"Chewing-gum, sans sucre",,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Bonbon dur et sucette,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
Bonbon gélifié,,,,,,,,,,,,,,,,,,
"Bonbon au caramel, mou",,,,,,,,,,,,,,,,,,
Calissons d'Aix en Provence,,12.0,,,,,,,,,,,,,,,,
"Guimauve ou marshmallow, enrobé de chocolat",,,,,,,,,,,,,,,,,,
Bonbon dur au caramel,,,,,,,,,,,,,,,,,,
"Chewing-gum, teneur en sucre inconnue (aliment moyen)",,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
"Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen)",,,,,,,,,,,,,,,,,,
"Confiture ou Marmelade, tout type de fruits (aliment moyen)",,,,,,,,,,,,,,,,,,
Confiture de fraise (extra ou classique),,,,,,,,,,,,,,,,,,
Confiture d'abricot (extra ou classique),,,0.0,,,,,,,,,,,0.0,,,,0.0
Confiture de cerise (extra ou classique),,,,,,,,,,,,,,,,,,
Marmelade d'orange,,,,,,,,,,,,,,,,,,0.0
Confiture de lait,,,,,,,,,,,,,,,,,0.0,23.0
Confiture de prune (extra ou classique),,,,,,,,,,,,,,,,,,
Confiture de framboise (extra ou classique),,,,,,,,,,,,,,,,,,
Confiture de myrtilles (extra ou classique),,,,,,,,,,,,,,,,,,
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures),,,,,,,,,,,,,,,,,,
Gelée de fruits divers (extra ou classique),,,0.0,,,,,,,,,,,,,,,
Gelée de groseille (extra ou classique),,,,,,,,,,,,,,,,,,
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)",,,,,,,,,,,,,,,,,,
Pain brioché ou viennois,,,,,,,,,,,,,,,,,,
Viennoiserie (aliment moyen),,,,,,,,,,,,,,,,,,
"Croissant, sans précision",,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,
"Croissant ordinaire, artisanal",,,,,,,,,,,,,,,,,,
"Croissant au beurre, artisanal",,,,,,,,,,,,,,,,,,
"Croissant aux amandes, artisanal",15.0,,,,,,,,,,,,,,,,,
"Pain au lait, artisanal",,,,,,,,,,,,,,,,,,58.0
"Pain au lait, préemballé",,,,,,,,,,,,,,,,,,106.0
"Pain au lait aux pépites de chocolat, préemballé",,,,,,,,,,,,,,,,,,
Pain aux raisins (viennoiserie),,,,,,,,,,,,,,,,,,43.0
"Pain au chocolat feuilleté, artisanal",,,,,,,,,,,,,,,,,,
"Pain au chocolat, préemballé",,,,,,,,,,,,,,,,,,
"Brioche (ou briochettes) aux pépites de chocolat, préemballée",,,,,,,,,,,,,,,,,,
Brioche fourrée au chocolat,,,,,,,,,,,,,,,,,,
"Brioche fourrée aux fruits, préemballée",,,,,,,,,,,,,,,,,,
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée",,,,,,,,,,,,,,,,,,
"Brioche, préemballée",,,,,,,,,,,,,,,,,,
"Brioche, sans précision",,,,,,,,,,,,,,,,,,109.0
"Brioche, de boulangerie traditionnelle",,,,,,,,,,,,,,,,,,99.0
"Couronne de Noël (Brioche) aux fruits confits, préemballée",,,,,,,,,,,,,,,,,,
"Brioche pur beurre, préemballée",,,,,,,,,,,,,,,,,,105.0
Chouquette,,,,,,,,,,,,,,,,,,191.0
Chausson aux pommes,,,,,,,,,,,,,,,,,,
"Tartine craquante, extrudée et grillée, fourrée au chocolat",,5.0,6.0,,,,,,,,,,,,,,,
"Tartine craquante, extrudée et grillée, fourrée aux fruits",,,1.0,,,,,,,,,,,,,,,
Macaron sec,,,,,,,,,,,,,,,,,,
"Biscuit sec, sans précision",,,,0.0,,,,,,,,,,,,0.0,0.0,65.0
Biscuit sec nature,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,3.0
Biscuit sec à teneur garantie en vitamines,,,,,,,,,,,,,,,,,,
Biscuit sec à teneur garantie en vitamines et minéraux,,,,,,,,,,,,,,,,,,
"Biscuit sec aux fruits, hyposodé",,,3.0,,,,,,,,,,,,,,,
"Biscuit sec aux fruits hyposodé, sans sucres ajoutés",,,,,,,,,,,,,,,,,,
"Biscuit sec croquant au chocolat, allégé en matière grasse",,,,,,,,,,,,,,,0.0,0.0,,
"Biscuit sec fourré aux fruits, allégé en matière grasse",,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,13.0
Spéculoos,,,,,,,,,,,,,,,,,,
"Biscuit sec, avec matière grasse végétale",,,,,,,,,,,,,,,,,,
"Biscuit sec, petits fours en assortiment",,,,,,,,,,,,,,,,,,
Biscuit sec petit beurre,,,,,,,,,,,,,,,,,,40.0
Biscuit sec avec tablette de chocolat,,,,,,,,,,,,,,,,,,
Biscuit sec petit beurre au chocolat,,,,,,,,,,,,,,,,,,
Biscuit sec au lait,,,,,,,,,,,,,,,,,,
"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",,,,0.0,0.0,,,,,,,,,,,0.0,,40.0
Biscuit sec pour petit déjeuner,,,,,,,,,,,,,,,,,,
"Biscuit sec pour petit déjeuner, allégé en sucres",,,,,,,,,,,,,,,,,,
"Biscuit sec chocolaté, préemballé",,,,,,,,,,,,,,,,,,
Biscuit sec fourré à la pâte ou purée de fruits,,,,,,,,,,,,,,,,,,
Biscuit sec avec nappage chocolat,,,,,,,,,,,,,,,,,,9.0
"Barre biscuitée fourrée aux fruits, allégée en matière grasse",,,,,,,,,,,,,,,,,,
"Biscuit sec pour petit déjeuner, au chocolat",,,,,,,,,,,,,,,,,,
"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Biscuit sec au beurre, sablé, galette ou palet",,,,,,,,,,,,,,,,,,130.0
"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",16.0,,,,,,,,,,,,,,,,,
"Biscuit sec chocolaté, type barquette",,,,,,,,,,,,,,,,,,
"Biscuit sec chocolaté, type tartelette",16.0,,,,,,,,,,,,,,,,,21.0
"Biscuit sec chocolaté, type galette",,,,,,,,,,,,,,,,,,
"Biscuit sec, sablé, galette ou palet, aux fruits",11.0,,,,,,,,,,,,,,,,,
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté),,,,,,,,,,,,,,,,,,
Florentin (biscuit sec sucré chocolaté aux amandes),,12.0,,,,,,,,,,,,,,,,
Biscuit pâtissier meringué,,,,,,,,,,,,,,,,,,
Sablé à la noix de coco,,,,,,,,,,,,,,,,,,
"Sablé pâtissier, artisanal",,,,,,,,,,,,,,,,,,98.0
"Sablé aux fruits (pomme, fruits rouges, etc.)",,,,,,,,,,,,,,,,,,
"Sablé au cacao ou chocolat, au praliné ou autre",,,,,,,,,,,,,,,,,,
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille",,,,,,,,,,,,,,,,,,
"Goûter sec fourré (""sandwiché"") parfum chocolat",,,,,,,,,,,,,,,,,,
"Goûter sec fourré (""sandwiché"") parfum fruits",,,,,,,,,,,,,,,,,,
Gaufrette ou éventail sans fourrage,5.0,,,,,,,,,,,,,,,,,
"Gaufrette fourrée chocolat, préemballée",,,,,,,,,,,,,,,,,,
"Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée",,,,,,,,,,,,,,,,,,
"Gaufrette, fourrée vanille, préemballée",,,,,,,,,,,,,,,,,,
"Gaufrette fourrée, aux fruits",,,,,,,,,,,,,,,,,,
Cigarette,,,,,,,,,,,,,,,,,,
Crêpe dentelle,,,,,,,,,,,,,,,,,,
"Crêpe dentelle au chocolat, préemballée",,,,,,,,,,,,,,,,,,
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,109.0
Biscuit sec type langue de chat ou cigarette russe,,,,,,,,,,,,,,,,0.0,,67.0
Meringue,,,,,,,,,,,,,,,,,,0.0
"Biscuit sec ou tuile, aux amandes",,,,,,,,,,,,,,,,,,
"Biscuit sec type tuile, aux fruits",,,,,,,,,,,,,,,,,,
"Biscuit sec feuilleté, type palmier ou autres",,,,,,,,,,,,,,,,,,
"Palmier, artisanal",,,,,,,,,,,,,,,,0.0,,28.0
"Biscuit sec (génoise) nappage aux fruits, type barquette",,,,,,,,,,,,,,,,,,
"Biscuit sec nappé aux fruits, tartelette",,,,,,,,,,,,,,,,,,
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,,,,,,,,,,,,,,,,,,
Cookie aux pépites de chocolat,,,,,,,,,,,,,,,,,,
"Cône ou cornet classique, pour glace",,,,,,,,,,,,,,,,,,
Génoise sèche fourrée aux fruits et nappée de chocolat,,,,,,,,,,,,,,,,,,
Biscuit sec pauvre en glucides,,,,,,,,,,,,,,,,,,
"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",3.0,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
Céréales pour petit déjeuner (aliment moyen),,,,,,,,,,,,,,,,,,
Muesli (aliment moyen),,,,,,,,,,,,,,,,,,
"Pétales de maïs natures, enrichis en vitamines et minéraux",,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0
"Riz soufflé nature, enrichi en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Pétales de blé chocolatés, enrichis en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
Pétales de blé chocolatés (non enrichis en vitamines et minéraux),,,,,,,,,,,,,,,,,,
Riz soufflé chocolaté (non enrichi en vitamines et minéraux),,,,,,,,,,,,,,,,,,
"Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)",,,,,,,,,,,,,,,,,,
Pétales de maïs natures (non enrichis en vitamines et minéraux),,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,3.0
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,1.0
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen)",,,,,,,,,,,,,,,,,,
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),,,,,,,,,,,,,,,,,,
"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",,,,,,,,,,,,,,,,,,
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),,,,,,,,,,,,,,,,,,
"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",,,,,,,,,,4.0,,,,,,,,
"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés",1.0,,,,,,,,,,,,,,,,,0.0
"Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux",,,2.0,,,,,,,,,,,,,,,
"Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
"Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
Muesli floconneux ou de type traditionnel,,,,,,,,,,,,,,,,,,
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),,,,,,,,,,,,,,,,,,
Blé khorasan complet soufflé,,,,,,,,,,,,,,,,,,
"Riz soufflé chocolaté, enrichi en vitamines et minéraux",,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0
"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
"Céréales complètes soufflées, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux",,,,,,,,,,,,,,,,,,0.0
"Muesli croustillant, au quinoa",,,,,,,,,,,,,,,,,,
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),,,,,,,,,,,,,,,,,,
Muesli enrichi en vitamines et minéraux (aliment moyen),,,,,,,,,,,,,,,,,,
Flocon d'avoine précuit,,,,,,,,,,,,,,,,,,0.0
Muesli non enrichi en vitamines et minéraux (aliment moyen),,,,,,,,,,,,,,,,,,
"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",,,,,,,,,,,,,,,,,,
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux",,,,,,,,,,,,,,,,,,
Barre céréalière diététique hypocalorique,,,,,,,,,,,,,,,,,,0.0
Barre céréalière chocolatée,,,,,,,,,,,,,,,,,,
Barre céréalière aux fruits,,,,,,,,,,,,,,,,,,0.0
Barre céréalière aux amandes ou noisettes,,,,,,,,,,,,,,,,,,
Barre céréalière chocolatée aux fruits,,,,,,,,,,,,,,,,,,
"Baba au rhum, préemballé",,,,,,,,,,,,,,,,,,
Gâteau (aliment moyen),,,,,,,,,,,,,,,,,,
Gâteau Paris-Brest (pâte à choux crème mousseline praliné),,,,,,,,,,,,,,,,,,109.0
"Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises)",,,,,,,,,,,,,,,,,,
"Gâteau mousse de fruits sur génoise, type miroir, bavarois",,,,,,,,,,,,,,,,,,87.0
Entremets type Opéra,,,,,,,,,,,,,,,,,,
Fraisier ou framboisier,,,,,,,,,,,,,,,,,,61.0
